no;kdprov;kdkab;nama_perusahaan;alamat;kdprovkab;lblkab;kawasan_fasih;nama_kawasan;kawasan
5633;72;03;PT DEXIN STEEL INDONESIA;KAWASAN INDUSTRI MOROWALI, JL. TRANS SULAWESI, DESA FATUPIA;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5634;72;03;PT KINRUI NEW TECHNOLOGIES INDONESIA;KAWASAN INDUSTRI MOROWALI ( PT IMIP ), JL. TRANS SULAWESI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5635;72;03;PT MERDEKA TSINGSHAN INDONESIA;TREASURY TOWER LANTAI 69 DISTRICT 8 SCBD LOT 28 JALAN JENDERAL SUDIRMAN KAVLING 52-53, DESA/KELURAHAN SENAYAN, KEC. KEBAYORAN BARU, KOTA ADM. JAKARTA;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5636;72;03;PT QING FENG FERROCHROME;KAWASAN IMIP, LABOTA, BAHODOPI, SULAWESI TENGAH;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5637;72;03;PT LESTARI HUA METAL INDONESIA;KAWASAN INDUSTRI MOROWALI, DESA FATUFIA, BAHODOPI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5638;72;03;PT HENGJAYA NICKEL INDUSTRY;DESA FATUFIA, BAHODOPI, SULAWESI TENGAH;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5639;72;03;PT INDONESIA RUIPU NICKEL AND CHROME ALLOY;JL. TRANS SULAWESI DESA FATUFIA KEC BAHODOPI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5640;72;03;PT HUA CHIN ALUMINUM INDONESIA;GEDUNG IMIP, JALAN BATU MULIA 8, DESA/KELURAHAN MERUYA UTARA,;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5641;72;03;PT WALSIN NICKEL INDUSTRIAL INDONESIA;KAWASAN INDUSTRI IMIP, BAHODOPI, SULAWESI TENGAH;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5642;72;03;PT SULAWESI MINING INVESMENT;;;;;;Kawasan Industri
5643;72;03;PT OCEAN SKY METAL INDUSTRY;JL. TRANS SULAWESI DESA FATUFIA KEC. BAHODOPI KAB. MOROWALI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5644;72;03;PT INDONESIA GUANG CHING NICKEL AND STAINLESS STEEL INDUSTRY;JL. TRAN SULAWESI DESA FATUFIA KEC. BAHODOPI KAB. MOROWALI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5645;72;03;PT ANUGRAH TAMBANG INDUSTRI (#166);DESA SAMBALAGI, KECAMATAN BUNGKU PESISIR, KABUPATEN MOROWALI, PROVINSI SULAWESI TENGAH;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5646;72;03;PT INDONESIA MOROWALI INDUSTRIAL PARK;GEDUNG IMIP, JL. BATU MULIA NO 8, MERUYA UTARA, KEMBANGAN, JAKARTA BARAT, DKI JAKARTA, 11630;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5647;72;03;PT RANGER NICKEL INDUSTRY;KAWASAN PT IMIP, FATUFIA, BAHODOPI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5648;72;03;PT CAHAYA SMELTER INDONESIA;JL. TRANS SULAWESI (KAWASAN PT. IMIP), FATUFIA, BAHODOPI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5649;72;03;PT BUKIT SMELTER INDONESIA;DESA FATUFIA, BAHODOPI, SULAWESI TENGAH;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5650;72;03;HUAYUE NICKEL COBALT;JL. TRANS SULAWESI (KAWASAN PT IMIP)2;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5651;72;03;PT LESTARI SMELTER INDONESIA;KAWASAN PT IMIP, FATUFIA, BAHODOPI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
